feedback,Category
Horrible Horrible!!!! why outsource your customer service to India????? When you say rude as hell and unprofessional all tied up in a pile of crap. If I didn't have my flight credits lord knows I wouldn't fly with united....,Negative with Suggestion
"Ive bought a pair of Torch 4 every year since 2013 I think.  I go through Tennis Shoes quickly.  I love the color scheme of this pair.  However as they get dirty you can really see darker stains.I love the comfort of the Torch 4, especially the sole.  I wear orthotics, and they work great in these shoes.  I do find over time the cushion fades and the support is lost.  This is a big reason I buy new ones yearly.  Plus the sole and fabric wears after heavy use.The only downside really is the length of the laces.  You have to really lace these tight to be able to tie in a bow.I have found these cheaper on sale in stores, but I would buy them again at this price.Update 12/2020: I did in fact buy another pair.  First pair had the material against the heel wear a hole making it uncomfortable.  I wouldnt say they were defective as I wore them for over 4 months almost daily and I wear insoles.  So it was just wear and tear in my opinion.",Positive with Suggestion
"The good movies/series are getting removed. Like Fast &amp; Furious ( Tokyo Drift ) and Fast &amp; Furious. It's okay to remove some shows but you guys need to stop removing the classics and the good ones. When someone watches it people are gonna get hooked too and would wanna watch it for themselves. And they're gonna ask where to watch it. If you say HBO Max or Hulu or something, people might not watch it because they don't have it or can't get it. All they have is Netflix for that matter. So if you really want clicks or money don't remove the good shows",Negative with Suggestion
Was informative but not too much meat.  More like a very basic overall that I felt could have been watched on Youtube.,Negative with Suggestion
Netflix has been great until recently. There's no reason I should be paying for a family account and then my kids also hav3 to pay for their own Netflix account because they don't still live with me. This is stupid! There's too many streaming platforms out there today for them to be doing stupid stuff like this. I will be be subscribing.,Negative
This is the only soap I've used on my baby since he was born. It's gentle on skin and smells amazing. Very high qualIt's product and ingredients. The pump makes it so much easier to dispense the soap while washing the baby.,Positive
"I'm absolutely loving my Apple AirTag. This device is an incredibly useful tool for keeping track of my personal items. Setup was quick and easy, and the 'Find My' app is intuitive and user-friendly. The location accuracy is impressive, and it's helped me find my keys and bag on more than one occasion. The compact and lightweight design is perfect for carrying around. Plus, the battery life is great, and replacement is easy. Integration with my iPhone is seamless, and receiving notifications when I'm near my lost item is a super useful feature. Overall, I'm really satisfied with my Apple AirTag. It's a valuable investment for anyone prone to losing their stuff. Highly recommended!",Positive
"I've set a pin so that the full library is not easily accessible by my children by TV remote. Worked fine for years. Today on my phone the PIN keyboard stopped working in an odd way the keyboard for pin entry is on landscape mode and NOT usable while my phone is in portrait mode. Rebooting phone. Uninstalling and reinstalling didn't fix it. I tried messaging Netflix customer support and was told to talk to apple. I suspect it's the Netflix update from 2 days ago has a bug. Hope they fix it soon.
10/12/23 Updated to Version 16.3.1 BUG PERSISTS.",Negative with Suggestion
"Sesuai dengan yang saya butuhkan dalam pekerjaan, untuk membuat strategi perencanaan iklan di digital marketing",Positive
"We have this on our kitten and it works great. We  use the function to find and when it beeps my cat knows to come into the house,",Positive
"wrost app ever , every time show there subscribtion plan and didn't play music we'll",Negative
Gentle on baby skin.,Positive
"On friday march 31 I called for help with my  changes made to my schedule flight , I was very lucky when a lady (I think her name is Lynell) answered , she went above and beyond to assist me at one point we got disconnected and to my surprise she called me back ( it has never happened to me before) Kudos to her .  She should be recognized for the outstanding service.  My confirmation number is LLN9N9 , please make sure to recognize the lady that provided that excellent service.",Positive
This class reviews all the google adwords basics. I am very satisfied. Why near perfect : it misses a little case study of a real campaign from A to Z.,Positive with Suggestion
"The subject is new to me so I have to repeat some parts to ""get it"".  The instruction is great! I'm just concerned about when I start putting it into practice :)",Positive with Suggestion
"I've been using the Apple Magic Mouse for a few months now, and I can confidently say it's one of the best mice I've ever had! First off, the design is incredibly sleek and minimalistic, which fits perfectly with my Mac setup. The wireless Bluetooth connection is seamless, and I've had zero issues with lag or disconnection.The multi-touch surface is a game-changer. I love how easy it is to navigate through pages and apps with gestures like swiping and scrolling. It makes using the mouse so much more intuitive and enjoyable, especially when multitasking between different apps and windows.The rechargeable battery is another huge plus. I've only had to charge it a few times, and it lasts for a surprisingly long time. It's so much more convenient than dealing with disposable batteries.Overall, the Magic Mouse is smooth, responsive, and looks great on my desk. If you're in the Apple ecosystem and looking for a mouse that works effortlessly with your Mac or iPad, this is definitely the way to go. Highly recommend!",Positive
Worked as promised,Positive
i have got a lot of great information from this course which i will be applying to my site thank you,Positive
"Dog got out (again) and when I tried to find her, the dang phone needed updating and it took well over 10 mins to get everything operational again. So, be sure your phone is UTD to expect to be able to use it quickly.",Negative with Suggestion
New update ki very bad and also premium thing's,Negative
"Our flight form London Heathrow to San Francisco was the best flight we've ever been on, the food was great! I found it amazingly tasty. And the crew!!! They were so so so so nice!!!! They were all SUPER Helpful, Funny and Caring. It was such a joy to fly with them.To be exact, this was Flight UA949 on the 8th of November 2022.From check in at Heathrow departure desk to arrival and baggage claim, the staff were reaaaaaallly nice. No one told me to write a review, I just feel the need to because it was all such a great experience.I have flown many times, too many to count, this was the longest flight I've ever been on but the amazingly the best experience.This was my first time flying with United Airline and by far the best experience flying myself and my girlfriend have had. Thank you United flight crew. Praise Jesus because that was such an amazing experience!Thank you United Airlines, may God bless you all.",Positive
Worst update ever .Better to not install for new users and good choice to delete the app for users who have already installed 👍,Negative
"I recently got my hands on the LEGO Brick Box, and let me tell you, it's been an absolute joy! 🧱🌟This box is like a treasure chest of creativity. With a wide variety of bricks in different shapes, sizes, and colors, the possibilities are endless. My imagination goes wild as I build, create, and construct whatever comes to mind. It's like having a universe of endless building blocks right at my fingertips. 🏗️🌍The quality of the LEGO bricks is, as always, top-notch. They snap together with ease, providing a sturdy and reliable foundation for my creations. I've built towers, vehicles, and even miniature cities, and the bricks have never let me down. It's like they were made for endless adventures. 🔨💪The box itself is not just a container; it's a place to organize and store my LEGO bricks. It keeps everything neat and tidy, which is a huge plus for someone like me who values order. No more searching for that one elusive brick amidst the chaos! 🧼🧱In addition, the LEGO Brick Box is a great way to spark creativity in kids, encouraging them to explore and develop their problem-solving skills. It's a fantastic tool for both young builders and the young at heart. 🧒👴In conclusion, the LEGO Brick Box is a delightful addition to any LEGO enthusiast's collection. It's like a magic box of endless fun and boundless creativity. If you're looking for a fantastic gift or just want to relive the joy of building, this box is the way to go. Highly recommended! 🎁🌈🤩",Positive
"you know ive got to say this i purchased Perry Marshals book a year or so ago and got bogged down with it all.  Your course was worth more than his book particularly the walk through examples and just being able to think, oh this will work with that, and if i do that x should be the result. When i started in business back in 2001 i was lucky enough to get adwords working in my favour before everyone else jumped on the band waggon.  Now its a different game completely but i can see by your course all my original mistakes and even current ones. What is funny though, is that i didnt realise about remarketing and now understand why those annoying images would re-appear about a company or business i looked at earlier in the week, now at least i know what they are doing and why.",Positive
This company is a rip off. Roundtrip Flight from toronto to Reno. Total travel time 42 hrs (normally 5) Made me pay for my own hotel when flight had a bird strike. Would never fly United again.,Negative
"Airtags are great.  They came in very handy for giving me peace of mind during some long-distance travel.  I had my car shipped for part of the trip and I could watch on an iPhone map where in the country my car was at any minute.  Also, if you have one in your wallet or purse or key ring and you can't find those in your house, just click on the phone app and it will show you how to walk to the right place within a certain distance (30' I think) to find your missing keys, etc.  I'd rate it a “5” except in the four-pack of Air Tags I bought only 3 worked even after replacing the battery.",Positive with Suggestion
my older mom n dad had flight  from ontario to scranton on april 11th 2023 but 1st flight from ontario to denver that was dealyed and next flight from there they missed it and airline give them only for denver to newark fight and make stupid excuse n really rude behavior with them and ewr to Scranton flight they don't give them .n they said they give u only u only 35$ back with there united account when u book agian with united u can used that 30$ really sucks.never book with them it's really sucks check review before book or take much possible time between 2  connection flight! really bad  customer service.so disappointed.,Negative with Suggestion
"I have been using Aveeno Baby Daily for a few years now. I love the slight scent and my kids love it too. The price has gone up a bit, but it is still worth it. Big bottle lasts a long time. It is perfect for my kids sensitive skin. Sometimes, I use it too :)",Positive
"It is really broad and interesting, not only do I learn about Adwords..but I feel the course also dives into marketing and advertising which could be used is so many ways.",Positive
"This course is a perfect introduction into Adwords, explains useful techniques step by step. The instructor used easy to understand language. Great value for money. Excellent course.",Positive
I rely on my Calm app every single night to help me fall asleep. I have not even begun to use this wonderful offering to its fullest! Looking forward to discovering the gems to be discovered…Love the Calm app!!!,Positive
This mouse is amazing… it is the first time I use a Mac but I'm surprised how you can move between the different windows you use.,Positive
"gasuka spotify yang sekarang gaada liriknya soalnya, spotify aku uda premium juga tetep gaada huu",Negative
The course was very useful and helpful as an intro in google ads. Sometimes  gives very useful links and sources about different types of  strategies.,Positive
"This has always been my go-to since having my child. The soap is thick, so a little goes a long way. It has a pleasant scent and is very gentle on my little one's skin. The bottle is exactly as described. I have no complaints!",Positive
"I was able to get a one year Premium subscription for super cheap with a special deal. After using it for a few days, the meditations are fine. What I find super frustrating is there is NO way to easily filter and search for meditations. For example, in another FREE app, I can filter by time, male vs female voice, key word (e.g. binaural), with or without music, even preview the voice. With Calm, there is no way to do that. You can only pick a category, like sleep or mediation. I prefer sleep meditations with music, but I have to literally play at least 30 seconds of each and every one or ff to see if it has it. I've already canceled my subscription to ensure it won't renew next year because not at all worth full price at $70 when other apps for way less or free have better navigation and functionality.",Negative with Suggestion
"This is a great course for anyone with little to know prior knowledge of AdWords. It goes over every step of the process in detail and includes a number of walkthroughs for you to follow along in your own account. Like many things in life, a successful AdWords campaign takes time to perfect, but this course gives you some good groundwork strategies to decrease that learning curve a bit. Highly recommended!",Positive
"I ordered the blue 30 oz and got a beautiful dark red 40 oz. Thank you for the upgrade 😁 I love my Stanley's. I have ordered several and will buy more for gifts. These are well worth the money, the quality is outstanding, I love every color I have gotten and cannot wait to see what colors you come up with next. Only problem I have had is that the classic trigger action ones take forever to be shipped. Otherwise amazing products.",Positive with Suggestion
"Whilst Google AdWords itself is multi-layered & complex, Corey made this course easy to understand even for a novice such as myself who has nothing to do with this type of work previously. Thanks so much. Great structure and keeping it simple to follow for the beginner! :)",Positive
"I have an AirTag on everything that I need to make sure that I don't misplace… checked baggage, carry-on, wallet, keys, etc. Very easy to use, very quick to pair to your account, it has a really good range and if you're just using this product as normal the battery life on it is pretty good.",Positive
I got shoes 4 days early! Shoes are comfortable and reasonably priced considering Air Max. All shoes should be less than $100,Positive with Suggestion
"I paid for the full membership, but it didn't work.  I couldn't access anything and clicking on “restore purchase,” it told me to create an account and supply them with my email address.  I hate sharing my email address.  Do you want my money or not?  

Well, I supplied them with my email address thinking I had to in order to make my PAID app work. Then the app told me to login with the Apple ID with which I bought the membership.  Umm… I only have one Apple ID.  The one I am using.  No matter what I did, I couldn't get it to give me the access I paid for.

Aaaannnnd they immediately started spamming me.  I clicked on unsubscribe immediately without reading their idiotic sales pitch that I never wanted in the first place. I hate that crap.  

But they kept spamming me anyway. Clicked on unsubscribe again.  And I still couldn't make my paid account work. For two days and some more unwanted spam later, I finally went to Apple and asked for a refund.  I got it. Thank goodness. 

The spam was immediate and really off-putting.  I am not putting up with that.  Put them on my junk sender list and deleted the app entirely.  I hate that they have my email address now, though. Super sketchy.",Negative
"United Airlines continues to miss the mark in all areas.  Seat management, flight cancelations, poor aircrafts,  low quality experience all around.",Negative
"These sets are amazing. Great for young and old, as you use your imagination to create cool designs and objects. Great set of Legos.",Positive
"This course is an okay refresher on concepts a beginner has already learned, but not really for complete noobs.",Positive with Suggestion
After My flight got delay I had to spend a night in Chicago and fly the following day. United offered no hotel or food though the delay was almost a full day (to the following day). My flight which I then was booked to didn't have the same class available so they also downgraded my ticket. Later when I contacted them to get some of my money for food hotel and a premium economy ticket which I never got back they offered my a lousy 150$ voucher. My own expenses was beyond 400$ and they deny paying me back the premium economy ticket which they were unable to deliver. Worst airline ever - they are always delayed and really don't care about their costumers..,Negative
"I started using Calm 3 years ago during one of the lowest points in my life. What a difference it has made for me!
The sleep stories are amazingly beautiful and effective, the guided meditations perfect for beginners or seasoned meditators and the inspirational bits just what I need when I'm feeling down. 
My favorite is the Daily Trip with Jeff. Love all his series, especially the beginner ones. He literally teaches the fundamentals of meditation in such an easy and unpretentious way. 
I am very grateful to all the creators and contributors behind this app.",Positive
"I was charged $1300 for the round trip ticket to attend my grandfather's funeral. All of my flights were delayed (one was because they had no crew), and apparently there is no in-flight entertainment offered anymore on United flights. There was no food offered other than a small bag of pretzels and a cup of water for a cross-country (5+ hour) flight, I was forced to pay $10 for Wi-Fi service that didn't work, and now I've been told United apparently have a new policy in which they don't adjust fares for bereavement travel. When I called customer service, I was forced into using the text messaging option to try to resolve my concerns due to the waiting period to speak to a representative being over 90 minutes. The United representative that I texted with was not only not helpful, but their messages were full of poor grammar, no punctuation (they often wrote paragraphs with no commas or periods or anything...it was just a run-on, nonsensical way of communicating), and a complete lack of willingness to resolve my concern(s). United has lost a customer for life.",Negative
We booked flights from Edinburgh to Newark leaving on 16 May returning from Nashville to Edinburgh on 16 June as part of a special trip to celebrate our 50th wedding anniversary. The flight going out was delayed for hours! We were left sitting on the plane and they stopped people getting on the flight. They then started asking for passengers to give up their seats. They had obviously overbooked the flight and it was just chaos. Eventually we took off but were told as the plane was heavier than it should be it would take longer to get to Newark. As a nervous flier this was a bit worrying! Great start to our holiday! When we tried to check in for our return flight on 14 June we couldn't find our booking on their website albeit we had confirmation from when we booked several months earlier. It was impossible to get through on the telephone to speak with anyone so we had to get a taxi to the airport to try and sort this out. United do not have a customer service desk so the only way we could speak with someone was to stand in the check in queue for an hour. When we explained we had booked flights for the next day but were unable to find our booking the female assistant just took our paperwork and started looking on the computer. She didn't say one word to us! After twenty minutes she handed us a piece of paper which indicated we were back on the flight but with no booked seats (we had our seats booked originally). There was no reason given as to why this had happened and no apology. We had to get a taxi back to our accommodation and spent the next couple of hours trying to get our seats sorted out. This was the last day of our holiday and it was completely ruined by their inefficiency. It was such a stressful day and caused a lot of upset. I contacted United complaints on our return and eventually received an apology but no reason for what had happened or offer of compensation. When I asked again why we had been removed from this flight they completely ignored me. How do they manage to get away with this atrocious service?!? Could never recommend them and won't use them again.,Negative
It would been nice for it to come in a box not just the bag it was a gift. Other then that was nice,Positive with Suggestion
"Just another letter in the alphabet soup here, and realize the overall significance of my review may be minimal but must make my experience known. Simply put the extremely unprofessional handling, lack of experience/training, or just flat out in the wrong department, but working with Ashley in customer service at Phila airport was not next to impossible, flat out impossible. United must provide either better screening for employees or better training especially for a customer service rep on how to handle….maybe….customers!!!  As a business owner myself I would want to know if my employees conducted business in such a unprofessional detrimental manner in which Ashley clearly demonstrated, thus I am passing this along to united management and any other customer that may find themselves in the customer service office at phila int airport, and trying to express concerns with the Ashley on the other side of the counter. Thanks to Ashley I won't fly united again, I won't advise anyone to fly united, and look forward to doing business with southwest or American in the future.",Negative with Suggestion
"This class is fantastic for people just getting started with Adwords advertising, tons of great optimization tips that I hope to use soon after starting my campaigns.  I highly recommend this course to anyone who wants to start or improve their adwords marketing.",Positive
"Comfortable, love the colors and the fit.",Positive
My niece loves Legos and really wants a Lego set.  She will be very happy!,Positive
The course was quite in-depth. It started at my level (beginner) and lead me through to feel much more confident and knowledgable.,Positive
"“Fully refundable tickets” are not fully refundable. A 100 USD refund fee is charged. Before buying the ticket, I even called to ensure that there would be no fee. Now they didn't even apologise for having given what they call “inaccurate” information. Also, it is incredibly difficult to find anything about this fee on their website or during purchase flow.",Negative with Suggestion
I bought this to replace one I have been using for several years. Little did I know I needed to be running Sequoia in order for it to work properly. It connected and would move and click but none of the other options for the mouse were available. My fault for not paying attention.,Negative
"WORKS PERFECTLY FINE, it works really fantastic I can track it for really long time it tells you the right spot , and works in find mine too this product is legit should get and you get it form a discount too from here, the sound quality is normal I can hear and find it to and has a great connection",Positive
"I had calm for 2 or 3 years. It's has help me in alot situations. It helps me in different problems, I have . My husband is diagnosed with cancer with calm and dr , I tend to get some help is hard to take Thank Calm.",Positive
Already came in handy! Got it for the pup and he ran out today and we found him in no time at all!!,Positive
I have learned a lot from Google AdWords for Beginners 2020 online training. I will recommend this to my co-workers.,Positive
"I have been using the Calm app for several years now. Calm provides so many wonderful options for slowing down and great bedtime stories that never fail to put me to sleep. I really appreciate Calm and all of the exceptionally talented people
who participate in our well-being.",Positive
"I bought a united airline ticket (basic economy) and they canceled my flight.  This is Dec 25 Christmas. After hours on the phone, I found a flight that night but they would NOT book it for me as it was economy, not the basic economy. The same seat as you know but they will not secure it so I have to wait till the 27th to fly out! Thanks, United for ruining my family's Christmas!!",Negative
I loved that the Apple mouse is easy to use and makes it easy for me to scroll,Positive
I like this for sensitive skin but wish it lathered better. I feel like I use more than should be necessary to get the kids clean. .,Positive with Suggestion
"Awkward to hold. Don't like the lightning charging port on bottom of mouse or absence of some kind of charge status - have to check settings in Macbook to see charge status. Does hold a charge very well though, but takes a long time to charge it up.",Negative with Suggestion
Really helpful and great beginner or refreshener for Google Ads - Corey Rabazinski really clear and to the point.,Positive
"When you decide you will not renew… the only choice the App gives you, is to renew… all my  other subscriptions allow a choice (thus I'm at the right place for the transaction) … to me that is a major scam…",Negative with Suggestion
"I flew with United Airlines in December of 2022. They forced me to gate check my carry on bag. The flight was ultimately cancelled, but they did not give people back the gate checked luggage. Subsequently, they lost the bag, which is common for United Airlines. I filed a claim end of December 2022. In January/February time, when I followed up with my claim, they lied to me saying that the bag had been found and returned to me. Which it had not. Once I got that cleared up, they confirmed that I would get reimbursed for the cost of my lost items. This was meant to be paid in May - which it did not. I have been chasing since. I finally called them today, and again, they lied saying that the money should have gone into my account in July. Which, I have proof that it did not. Losing bags is one thing, the constant lying and over 8 months to get my reimbursement is unacceptable.",Negative
"Due to their new anti password sharing update I cannot watch their poorly scripted Netflix originals with bad costume designs simply because I am away for college. What is the point of having a MOBILE app if you cannot be MOBILE with the app.  If someone is paying for 5 screens/ profiles, who cares which screens they are and where they are being used. Netflix is not that good for me to pay for my own account so I guess this is the end of an era.",Negative
"This course is a really fast way to learn more about Google Adwords, the only negative point is that it doesn't teach much about bidding.",Positive with Suggestion
"It was a good course with fairly good information. However, it needs to be updated a bit as per the changes and updations in Adwords.",Positive with Suggestion
The content is great and explained in a manner that brings those who have no exposure to AdWords up to speed very quickly.,Positive
Every single United flight I've ever taken has been delayed. Every time that has resulted in missed connections. This airline may as well be a scam with their lack of being able to provide the service that United travelers pay for and not providing refunds for missed legs caused by their inability to operate efficiently.,Negative
The course explains every topic in an interactive and simple way that will give you the proper understanding of the power that Google Ads has in the growth of every business. It also provides you with relevant links to further reading that will help you in understanding every topic on the long run.,Positive
"United Airlines canceled my flight because a first-class passenger insulted a stewardess. The 80+ year old woman used a profanity, and the flight attendant then asked her to de-board. She refused and United instead took everyone off the plane instead. They eventually canceled the flight 5 hours later. In the meantime, they only provided drinks and sandwiches to around half the people because they apparently could not drum up enough water, drinks, and food for everyone in one of the world's largest airports. Shame on you United. You honestly need a new leadership team.",Negative with Suggestion
"I have been buying this baby wash for several years, and have always loved it, but I bought this bottle 2 months ago, and it's already old. It has started to have a terrible smell, not pleasant like it should be.",Negative
Very detailed walk-through across how Google Ad works. It has been very useful if you are about to start some Google Ad Campaigns.,Positive
Very good and explanatory course. I also had a few questions for Corey and he responded really quick and was very helpful!,Positive
"I absolutely love the Apple Magic Mouse! It's sleek, lightweight, and fits perfectly in my hand. The multi-touch surface makes navigation smooth and intuitive, whether I'm using it with my Mac or iPad. The rechargeable battery lasts a long time, and pairing via Bluetooth is seamless. It's a joy to use and looks great on my desk. Highly recommend it!",Positive
"I've been using the Apple AirTag for a few weeks now, and it has quickly become one of my favorite gadgets. Its compact size and seamless integration with the Apple ecosystem make it incredibly convenient for tracking important items like keys, wallets, or luggage.What I Love: • Easy Setup: Pairing the AirTag with my iPhone took seconds, and the instructions were simple to follow. • Precise Tracking: The “Find My” app provides accurate directions and even shows the exact distance when I'm close to the item. • Durable Design: The AirTag feels sturdy and well-made, and the battery life has been excellent so far. • Peace of Mind: I've already used it to locate my misplaced keys once, and it saved me so much time and stress.This is a fantastic product for anyone who wants to keep track of their belongings effortlessly. Highly recommended for anyone in the Apple ecosystem!",Positive
"I liked the progression from basics to optimization.  It's ok if it goes quickly because I can always some back and rewatch.  I'd like a bit more information in the intro, specifically, take a minute to orient the user thoroughly to the UI. Walk us through it to get our bearings before just jumping in.  Also, connect the layout to agenda so we can see what's being covered and not covered, if applicable.",Positive with Suggestion
"Shocking experience with United Airlines, who left our family including 2 elderly people and an infant stranded in Boston over the Boston Marathon weekend for 2 days. We incurred over $1,000 in extra hotel and food costs, and United refused to compensate us even one cent in violation of Canada's Air Passenger Protection Regulations!On the morning of our scheduled departure, United told us the Boston-Newark leg of our journey (United 523) was delayed because of an earlier delay impacting our plane's arrival, meaning we would not have sufficient time to make our Newark-Calgary connection. United further confirmed that the reason for the earlier delay was boarding of the aircraft taking longer than expected, which is within the airline's control. Due to the delay, United asked us to either re-book on a different United flight or get a refund.We spent over 2.5 hours on the phone with United trying to find an alternative flight, but were told that the earliest available alternative was not for another 2 days, even though we showed great flexibility e.g. we were willing to connect via a different city, split our family up so we flew on different airplanes, and / or accept a longer connection time. Despite this, United said there was absolutely no option for us to fly for another 2 days.We looked ourselves into flying with another airline, but the cost of such last-minute tickets was thousands of dollars per passenger and therefore prohibitively expensive. This meant cancelling our United flights and getting a refund was not a feasible solution. We note that United did NOT offer us the option of arranging a flight with a different airline carrier without additional expense, which is contrary to our rights under Canada's Air Passenger Protection Regulations (APPR). We therefore accepted the new United itinerary.We were shocked that a leading international airline like United was not able to reschedule us for two full days. Our family includes two elderly people and a 4 month old infant travelling long distance for the first time in his young life. My wife has debilitating back and gastrointestinal issues and was forced to suffer a further two nights in a foreign country and hotel, rather than having the comforts of her own home and medical care. Our destination city of Calgary is not a small town - it has a population of 1.45 million people and a very active international airport. We were stuck in Boston during the very busy Boston Marathon weekend, which forced us to stay at an expensive hotel 2 more nights than we planned as we could not find last minute accommodation elsewhere (as you can imagine, it is even more difficult to find a hotel room that works for an infant and an elderly person with back problems). We also incurred additional meal costs and transportation costs to the airport.Our total additional expenses amounted to USD 1,110.We filed a formal complaint with United and requested compensation for this under the APPR legislation. It took United close to 2 months to reply, and they refused to provide any compensation whatsoever (vaguely blaming the weather, which was the first time we heard this excuse!), which is in violation of the APPR. We are now filing a formal legal complaint with the Canadian Transportation Agency but also wanted to write a review to make the public aware. All airlines have their issues, but this is a new low given our vulnerability",Negative
Love the shoes will buy again..,Positive
I love this app! Not only do I use it for myself to unwind or relax but sometimes my class of 25- 5 years olds can get a little overwhelming so we take a meditation break. The kids wind down and it really helps. ❤️❤️❤️❤️,Positive
F..ck this new update..even basic features need premium now,Negative
Better that any others I tried,Positive
"I don't want to sound entitled or anything you know I love netflix, however the pricing netflix offers now is truly absurd for what little shows and movies we get. i understand that other services take the rights to certain films and series so they have no choice but the pricing is ridiculous majority of peoples favorite shows are gone or are yet to leave soon anyway why not lower pricing. 

Also I do have one request will netflix ever offer custom profiles been wanting it from quite sometime since hbo does it. since perhaps you're going to charge people an arm or leg for this app and for “cheaper” pricing you lock half of the films and give ads. and the fact that people get charged for sharing passwords is just.. whew

least you can do is offer some new features or something yk atleast with other services they offer discounts and addons you'll get that for way cheaper than netflix offers.

But bless you all in the future!💗",Negative with Suggestion
This course is a very good starting point for those wanting to learn about online advertising. It covers the important bases of AdWords in a succinct yet thorough manner. I'm trying my first campaign and I look forward to see my ROI.,Positive
"GREAT!

They've been releasing a lot of new sleep stories lately, with celebrities like Harry Styles and P!NK. The stories and sounds are so relaxing and put me right to sleep. I use it almost every night it is an addiction. It fills my sleepy mind with magical stories as I drift off to sleep. It'd be so cool of you had someone like Taylor Swift on there though. I'm listening to a sleep story right now while writing this review!",Positive with Suggestion
"I like that it's cordless, but it's a little harder to manipulate than the old, corded mouse, even though I got a special mouse pad for it.",Negative
Nice looking and comfortable shoes,Positive
"This course gave me a good foundation on how to use Google AdWords. It was very helpful to see the tool being used and having the instructor explain the process, why you do it that way and where to find more information.",Positive
"Please stop giving us worst update We can't even listen our song, one by one according to playlist instead we listen other shity songs",Negative with Suggestion
On April 22 after checking in for my flight I was trying to go through tsa and was told my id and name on boarding pass don't match. I was told to go back to united counter and have my pass changed. The manager told me I needed to call American express because I book through them. I was on the phone in the airport for two hours with American express who was on the phone the whole time with United. Neither could change my ticket. At this point I was frantic and went back to the counter and said I have to get home what can I do. The manager said I had to buy a whole new ticket by that time I had to purchase a later flight. Nothing worse then feeling like you are going to be stranded somewhere,Negative
The course is equally good for the person who just wants an overview as well as for the person needing step-by-step help.  Good resources too.,Positive
"Am 08.09.22 bin ich zusammen mit meiner Frau mit dem Flug UA031 von München nach Newark (New York) geflogen um eine Kreuzfahrt anzutreten. Es gab keine Möglichkeit vorab online den Check-in durchzuführen. Beim Check-in am Flughafen waren die Plätze bereits zugeteilt und wir wurden nicht nebeneinander gesetzt. Eine Änderung war nicht möglich. Beim Rückflug am 22.09.22, UA030 dann die gleiche Situation. Die Plätze waren willkürlich in der Maschine verteilt. Eine Änderung wäre zwar möglich gewesen, jedoch gegen Zuzahlung von 44 Euro. Das empfinde ich als Frechheit! So einen schlechten Service habe ich bisher bei keiner anderen Airline erlebt. Beim Check-in erwarte ich schlichtweg, dass ich zwei Sitzplätze nebeneinander auswählen kann. Von diesem Chaos war übrigens die ganze Reisegruppe betroffen. Ich werde in Zukunft andere Airlines bevorzugen.",Negative with Suggestion
spent 24 hrs trying to book online called them got transferred from one department to another and no one to talk too to sort things out. THIS IS THE WORST ONLINE AND GOING PERSUADE EVERONE AGAINST BOOKING THROUGH YOU. THIS AIRLINE IS WORTH ZERO STARS,Negative
"Connected to my new Mac Mini M4 lickity split. The new Mac knew I meant to pair it with this mouse, not the other Mac mouse 15 feet distant, paired with my M1 mini.So far, everything I'd expect from a magic mouse 2. I suspect it charges faster than my other (Lightening)  Mouse 2.",Positive
Very comfortable. Excellent price.,Positive
Excellent course for beginners! It was super easy to follow and learn. I feel much more educated than I had before and I am very glad I took this course before going in blindly. Definitely recommend!,Positive
Gave this to my husband for Xmas… really nice & sturdy.  It holds like 42 oz. & he is a huge water drinker.  Keeps the beverage cold.. ice does not melt easily.  Definitely a good purchase.,Positive
"If you can afford Lebron James you should be able to afford to hire experienced Black American, Latinx, Asian, Indigenous, &amp; Pacific Islander people and voices. POC deserve the comfort and usefulness of hearing folks of our experiences speaking about our experiences. LGBTQA+ presence is also lacking. How is it 2023 and you aren't doing this?",Negative with Suggestion
"This is a very good course for beginners like me. It's well organized, concise, and covers the basics well.",Positive
I went from not knowing anything about ad words to running several campaigns. Still learning as I go but this course was a fantastic start. Well worth your time!,Positive
"I wish there were better options, the platform is tired, the app is terribly maintained, the organization topped the hill a decade ago. Let it go and move on to something worth your time and money because the price has gone far beyond being worth the absolute minimum effort put in.",Negative
"I had opened my Google AdWords account for my small business and felt like I had a pretty decent idea how to use it. However, after going through Corey's course I realized that there was a LOT of stuff I did not know about and/or properly understand how to use. I can confidently say that this course will pay for itself in a heartbeat and generate a fantastic ROI for my small business. Thank you Corey!",Positive
"Course needs to be updated. Its a good start but not worth paying for imo because its old info. Nothing about Call-only campaigns or how to choose keyword matching options. If you are totally new to adwords this will help you get a step in the door, but not much more.",Negative with Suggestion
"Softness,smell so good,value for money 💯",Positive
Large these appear to be just normal size Legos. There's nothing wrong with them as Legos but they are not large.,Negative
My wife lost her keys in a snowbank.  We likely wouldn't have found them until all the snow melted without the air tag.,Positive
The course is aimed at beginners and hit's the mark. Sometimes beginner courses don't. The course is broken down into sensible and clear sections and the run throughs on a live Google account really help to show what has been explained.,Positive
Wat kind of update is come .. it is like compulsory Spotify premium,Negative
Netflix is great but they changed the settings so that you can only have the tvs in your house connected to your account. I am a college student that lives in a dorm and now can not use my parent's account. This is very saddening because I am broke and will not be able to afford the subscription.,Negative
